,Unnamed: 0,id,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry,act_sum_p1,act_sum_p2,act_sum_p3,act_sum_p4,act_sum_p5,act_sum,day_sum_p1,day_sum_p2,day_sum_p3,day_sum_p4,day_sum_p5,day_sum,stay_avg_p1,stay_avg_p2,stay_avg_p3,stay_avg_p4,stay_avg_p5,stay_avg,stay_sum_p1,stay_sum_p2,stay_sum_p3,stay_sum_p4,stay_sum_p5,stay_sum,travel_p1,travel_p2,travel_p3,travel_p4,travel_p5,travel,centr_closes_p1,centr_closes_p2,centr_closes_p3,centr_closes_p4,centr_closes_p5,centr_closes,centr_between_p1,centr_between_p2,centr_between_p3,centr_between_p4,centr_between_p5,centr_between,centr_eigen_p1,centr_eigen_p2,centr_eigen_p3,centr_eigen_p4,centr_eigen_p5,centr_eigen,centr_infos_p1,centr_infos_p2,centr_infos_p3,centr_infos_p4,centr_infos_p5,centr_infos,infl_dist_p1,infl_dist_p2,infl_dist_p3,infl_dist_p4,infl_dist_p5,infl_dist,infl_reg_p1,infl_reg_p2,infl_reg_p3,infl_reg_p4,infl_reg_p5,infl_reg,infl_sum_p1,infl_sum_p2,infl_sum_p3,infl_sum_p4,infl_sum_p5,infl_sum,median,median_p1,median_p2,median_p3,median_p4,median_p5
Judenburg,191,190.0,17.0,6.0,6.0,5.0,0.0,47.167,14.667,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.667 47.167),,,,0.058823529411764705,,0.019867549668874173,,,,0.0013192612137203166,,0.00043840420868040335,,,,0.015384615384615385,,0.017857142857142856,,,,0.0,,0.0,0.0,0.0,0.0,0.011257264454141283,0.0,0.002948830370286555,,,,0.22112146857902282,,0.24609153745207107,,,,0.15824635020068295,,0.1647329481352904,,,,0.0003599108770003253,,0.0007733296399734996,,,,0.18425325577415463,,0.20582956946754954,,,,0.5036853207190876,,0.2549953170267782,0.0,0.0,0.0,0.06666666666666667,0.0,0.045454545454545456,,,,0.04,,0.014084507042253521,0.018862346263008513,0.0,0.0,0.0,0.04941176470588235,0.0
Kamýk nad Vltavou,198,198.0,8.0,4.0,4.0,0.0,0.0,49.639,14.253,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.253 49.639),,,,0.0392156862745098,,0.013245033112582781,,,,0.040897097625329816,,0.013590530469092503,,,,0.23846153846153847,,0.2767857142857143,,,,0.058823529411764705,,0.016129032258064516,0.0,0.0,0.0,0.05337429194971049,0.0,0.014453879302220357,,,,0.7495428226600076,,0.7372151569666454,,,,0.4933851122051278,,0.26608532500354454,,,,0.18362885098905155,,0.06598266478538156,,,,0.7406419945998748,,0.6085413101823506,,,,1.0,,0.506259179169116,0.0,0.0,0.0,0.23333333333333334,0.0,0.1590909090909091,,,,0.08,,0.028169014084507043,0.11253678693814533,0.0,0.0,0.0,0.20848109216119243,0.0
Kladruby,204,205.0,6.0,2.0,2.0,2.0,0.0,49.712,12.995,3.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.995 49.712),,0.03571428571428571,,,,0.006622516556291391,,0.05991735537190083,,,,0.012713722051731697,,0.4603174603174603,,,,0.5178571428571429,,0.0,,,,0.0,0.0,0.2309676524513012,0.0,0.0,0.0,0.06407292907197833,,0.5403560809715447,,,,0.5153537359114452,,0.07132768361581915,,,,0.040258991643273935,,0.11146648332953318,,,,0.036530725657631796,,0.47115987046201935,,,,0.4302310864917387,,0.09591734161934909,,,,0.034271583609697454,0.0,0.17647058823529413,0.0,0.0,0.0,0.06818181818181818,,0.10256410256410256,,,,0.018779342723004695,0.03839485865045286,0.0,0.10701529294681787,0.0,0.0,0.0
Kleinweikersdorf,207,208.0,3.0,1.0,1.0,0.0,1.0,48.631,16.198,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.198 48.631),0.0,,,,,0.0,0.0,,,,,0.00131521262604121,0.0,,,,,0.05357142857142857,0.0,,,,,0.0,0.019251227550592127,0.0,0.0,0.0,0.0,0.002591850168199208,0.6744385132762142,0.74180737633105,,,,0.8458338120007897,0.0,0.0,,,,0.014883618649154459,0.2179301434511608,0.07276286751362984,,,,0.029640891973146063,0.18944099378882043,0.23480346993690956,,,,0.4286667813933418,,0.3229602464686832,,,,0.11539476493609567,0.0,0.11764705882352941,0.0,0.0,0.0,0.045454545454545456,,0.02564102564102564,,,,0.004694835680751174,0.02226225531115026,0.0,0.09520496316857963,0.0,0.0,0.0
Korneuburg,216,217.0,8.0,7.0,0.0,1.0,0.0,48.34,16.33,1.0,gemeinde,,Niederösterreich,Wien,Wien,Wi,Wien,POINT (16.33 48.34),0.625,,,0.0,,0.039735099337748346,0.023952095808383235,,,0.025065963060686015,,0.011398509425690487,0.07453416149068325,,,0.2923076923076923,,0.23214285714285715,0.0,,,0.0,,0.016129032258064516,0.023763491791499558,0.0,0.0,0.0682664900523071,0.0,0.021711994439922604,0.8181263578300496,,,0.25128914764733995,,0.9554624870439459,0.0,,,0.0,,0.051640899636344564,0.4274791012714619,,,6.504545963137319e-05,,0.029687896369376115,0.45959352209352267,,,0.0,,0.4974345136106265,1.0,,,,,0.3619026564935363,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.7333333333333333,,,,,0.056338028169014086,0.05398946390267932,0.4435363116824923,0.0,0.0,3.2522729815686594e-05,0.0
Kostanjevica na Krki,217,218.0,9.0,2.0,2.0,4.0,1.0,45.846,15.42,1.0,gemeinde,,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (15.42 45.846),,,,0.0196078431372549,,0.006622516556291391,,,,0.005277044854881266,,0.0017536168347216134,,,,0.06153846153846154,,0.07142857142857142,,,,0.0,,0.0,0.0,0.0,0.0,0.1287892831224559,0.0,0.12555004914955292,,,,0.2341976828512977,,0.18958842812038612,,,,0.25202196513442093,,0.1330925138466803,,,,0.0031653797480174096,,0.0005790643607220326,,,,0.27627570566088916,,0.10239231404354049,,,,0.0,,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.022727272727272728,,,,0.013333333333333334,,0.004694835680751174,0.014674894641782059,0.0,0.0,0.0,0.026470588235294117,0.0
Kravaře u České Lípy,227,228.0,3.0,1.0,1.0,1.0,0.0,50.632,14.392,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.392 50.632),,,0.0,,,0.0,,,0.005924170616113744,,,0.0021920210434020165,,,0.040983606557377046,,,0.08928571428571429,,,0.0,,,0.0,0.0,0.0,0.015361923603708775,0.0,0.0,0.007431403484880851,,,0.44356045313437326,,,0.4313920139330156,,,0.04522453228464844,,,0.022949878000164993,,,0.006252208373982651,,,0.000969357212637016,,,0.2545286136396649,,,0.24191841353315094,,,0.0698353249135525,,,0.04283198232043278,0.0,0.0,0.03225806451612903,0.0,0.0,0.022727272727272728,,,0.0,,,0.0,0.01507933810607679,0.0,0.0,0.023809994059918904,0.0,0.0
Krems an der Donau,228,229.0,73.0,30.0,30.0,6.0,7.0,48.41,15.62,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.62 48.41),1.0,0.42857142857142855,,0.0196078431372549,,0.152317880794702,0.40119760479041916,0.5578512396694215,,0.08839050131926121,,0.17843051293292417,0.2049689440993789,0.5357142857142857,,0.5153846153846153,,0.4845238095238095,1.0,0.5,,0.058823529411764705,,0.22580645161290322,0.510691437591986,0.7279652537523555,0.0,0.2927283647806253,0.0,0.4319651363474922,1.0,0.9194741368954723,,0.6685189894813887,,0.8984445427632003,1.0,0.25,,0.0,,0.27931535764877796,1.0,0.6010406604318546,,0.14078511783971256,,0.317079752810465,1.0,0.9219542599590781,,0.6740429408285913,,0.929918853474761,0.46126040625721726,0.5223900516803688,,0.6429610262365901,,0.18562545333095223,0.75,0.29411764705882354,0.0,0.06666666666666667,0.0,0.1590909090909091,0.9333333333333333,0.46153846153846156,,0.02666666666666667,,0.17370892018779344,0.2525609046308406,0.9666666666666667,0.5290521686973273,0.0,0.11458780957948689,0.0
Křivoklát,230,231.0,14.0,7.0,7.0,0.0,0.0,50.038,13.872,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (13.872 50.038),,0.07142857142857142,0.0,0.0,,0.026490066225165563,,0.030991735537190084,0.011848341232227487,0.0316622691292876,,0.021481806225339763,,0.07936507936507936,0.08196721311475409,0.36923076923076925,,0.17500000000000002,,0.14285714285714285,0.0,0.0,,0.06451612903225806,0.0,0.056893916786667054,0.016319176276453767,0.0748959702760063,0.0,0.03927114908009794,,0.7754699801227899,0.7483692483562415,0.6309728087248697,,0.6726341712015428,,0.24717514124293782,0.0,0.0,,0.035000572948960085,,0.22272072641674773,0.14664538775494848,0.15072977473446755,,0.18123157075523516,,0.7063470135646359,0.4409898947240396,0.5795270498358097,,0.7987071021123382,,0.43401836419965,0.1382779152005388,0.11256099764756049,,0.07630817763840468,0.0,0.23529411764705882,0.0967741935483871,0.06666666666666667,0.0,0.1590909090909091,,0.07692307692307693,0.04938271604938271,0.02666666666666667,,0.051643192488262914,0.07041215333533138,0.0,0.1827889346369453,0.0656749645820684,0.07078131847133648,0.0
Laa an der Thaya,238,239.0,24.0,11.0,11.0,2.0,0.0,48.728,16.384,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.384 48.728),,0.17857142857142858,0.0,0.0196078431372549,,0.052980132450331126,,0.049586776859504134,0.002369668246445498,0.03825857519788918,,0.024112231477422183,,0.38095238095238093,0.01639344262295082,0.2230769230769231,,0.24553571428571427,,0.0,0.0,0.058823529411764705,,0.04838709677419355,0.0,0.036478219303940844,0.006820185520190846,0.06922537479259787,0.0,0.03572675158481619,,0.08354975555042864,0.7221717632339627,0.6917317959010443,,0.9013412031582004,,0.1271186440677965,0.02203394731515473,0.10292575052337286,,0.16934724326098632,,0.01420928480432348,0.048108964735812144,0.15562859651197022,,0.08348477055846076,,0.180369296270491,0.47314530874196187,0.6695860589221386,,0.7460586634604236,,0.36973522242727846,0.19084182686702428,0.22094990690421082,,0.13210761865308407,0.0,0.11764705882352941,0.06451612903225806,0.06666666666666667,0.0,0.13636363636363635,,0.05128205128205128,0.012345679012345678,0.013333333333333334,,0.028169014084507043,0.10779619460577242,0.0,0.10059840718697902,0.019213694969052775,0.08607556265798535,0.0
Lilienfeld,257,258.0,22.0,4.0,4.0,14.0,0.0,48.014,15.598,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.598 48.014),,0.0,0.017241379310344827,0.0,,0.019867549668874173,,0.08677685950413223,0.0,0.0,,0.01841297676457694,,0.6666666666666666,0.0,0.0,,0.25,,0.0,0.0,0.0,,0.03225806451612903,0.0,0.13843038558106543,0.0003133963162076775,0.00034766375757496804,0.0,0.06545917083877477,,0.0,0.5160748469715776,0.6182060952492291,,0.7384041576687512,,0.0,0.0,0.22623367102764289,,0.3010321198212479,,0.0,0.060373686705312256,0.004766833347245373,,0.02786114713278811,,0.0,0.4153765292175403,0.27722767253483777,,0.6318048919601658,,0.0,,,,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.022727272727272728,,0.0,,,,0.0,0.03005960582445857,0.0,0.0,0.00015669815810383876,0.00017383187878748402,0.0
Linz,258,259.0,49.0,19.0,19.0,4.0,7.0,48.306,14.286,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.286 48.306),0.625,0.10714285714285714,0.06896551724137931,,,0.09271523178807947,0.40718562874251496,0.11776859504132231,0.06279620853080568,,,0.079351161771153,0.6055900621118013,0.30158730158730157,0.21721311475409835,,,0.461734693877551,0.25,0.14285714285714285,0.038461538461538464,,,0.0967741935483871,1.0,0.4008580581370717,0.4469021000416297,0.0,0.0,0.4980077032682728,0.5924877428937384,0.3945718377215285,0.08344116913562853,,,0.6370490252058091,0.4788732394366196,0.4745762711864407,0.04719081629702444,,,0.08555168017713469,0.30577601470481475,0.2055847167320325,0.024351779842699203,,,0.1150447767668452,0.43092621664050335,0.6699414344669574,0.44685535896008594,,,0.8382755060312047,0.0827332872640061,0.3533482934275645,0.24864853306943954,,,0.05703416675617136,0.375,0.23529411764705882,0.12903225806451613,0.0,0.0,0.18181818181818182,0.5333333333333333,0.1794871794871795,0.07407407407407407,,,0.11267605633802817,0.11386041655243669,0.4548997280385615,0.2684407096171802,0.07875762160485131,0.0,0.0
Litoměřice,259,260.0,14.0,4.0,4.0,6.0,0.0,50.533,14.132,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.132 50.533),,,0.034482758620689655,,0.0,0.019867549668874173,,,0.013033175355450236,,0.09375,0.014028934677772907,,,0.030054644808743168,,0.5,0.14285714285714285,,,0.07692307692307693,,0.0,0.04838709677419355,0.0,0.0,0.021194852872963132,0.0,0.16408469150762497,0.02956316068416125,,,0.7831817004989915,,0.732945708365237,0.671328060873171,,,0.13706156203915212,,0.0902777777777777,0.12576567436026245,,,0.23603625491513958,,0.13331813643477616,0.12121031148356892,,,0.6997692362765411,,0.2838345180974454,0.758120395554944,,,0.6279324949421853,,0.0,0.23090075443357297,0.0,0.0,0.06451612903225806,0.0,0.18181818181818182,0.09090909090909091,,,0.012345679012345678,,0.058823529411764705,0.014084507042253521,0.10605970119632992,0.0,0.0,0.0707196029776675,0.0,0.11353406821738808
Loket,264,265.0,2.0,1.0,1.0,0.0,0.0,50.187,12.754,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.754 50.187),,0.0,,,,0.0,,0.047520661157024795,,,,0.010083296799649276,,0.36507936507936506,,,,0.4107142857142857,,0.0,,,,0.0,0.0,0.21945045998919824,0.0,0.0,0.0,0.061897665502276315,,0.43505388897832886,,,,0.40894052416124965,,0.025070621468926434,,,,0.004178717313440398,,0.01563622230744868,,,,0.005045225288298471,,0.330230627230751,,,,0.3029040721524308,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.007564261043973873,0.0,0.036295641312975614,0.0,0.0,0.0
Ljubljana,269,270.0,3.0,1.0,1.0,1.0,0.0,46.05,14.507,1.0,gemeinde,,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (14.507 46.05),,,,0.0,,0.0,,,,0.0013192612137203166,,0.00043840420868040335,,,,0.015384615384615385,,0.017857142857142856,,,,0.0,,0.0,0.0,0.0,0.0,0.10783652493552333,0.0,0.10512428268506512,,,,0.1543999708512385,,0.12274841523844945,,,,0.11604732348050069,,0.020726413380425357,,,,1.6670991328880036e-05,,4.177068310914153e-07,,,,0.13600230593072363,,0.005765276516622072,,,,0.028895124780840088,,0.014628422153537287,0.0,0.0,0.0,0.03333333333333333,0.0,0.022727272727272728,,,,0.013333333333333334,,0.004694835680751174,0.01019684933507968,0.0,0.0,0.0,0.022139870082727737,0.0
Mailberg,274,275.0,7.0,1.0,1.0,5.0,0.0,48.673,16.183,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.183 48.673),,,,0.0,,0.0,,,,0.0712401055408971,,0.02367382726874178,,,,0.8307692307692308,,0.9642857142857143,,,,0.0,,0.0,0.0,0.0,0.00014739530095006533,0.15761998606860864,0.0,0.04643709531016394,,,,0.8159120742703372,,0.7278942763719829,,,,0.294220991854603,,0.03559135517171669,,,,0.06290701504025736,,0.017543812016238523,,,,0.4672030464081635,,0.3987145707456112,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.029632591220229234,0.0,0.0,7.369765047503267e-05,0.11443004580475287,0.0
Marchegg,279,280.0,7.0,2.0,2.0,2.0,1.0,48.257,16.891,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.891 48.257),,,,0.0,,0.0,,,,0.002638522427440633,,0.0008768084173608067,,,,0.03076923076923077,,0.03571428571428571,,,,0.0,,0.0,0.0,0.0,0.0,0.011055633562225182,0.0,0.0030116632113334147,,,,0.5238635051589742,,0.6732313548112442,,,,0.0,,0.0,,,,0.01172795577993661,,0.002315459464025689,,,,0.25638773496124756,,0.164188060866643,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.001596133940693248,0.0,0.0,0.0,0.006847077994832907,0.0
Maribor,282,283.0,11.0,5.0,5.0,0.0,1.0,46.554,15.648,1.0,gemeinde,,Steiermark,Steiermark,Südsteiermark,SS,Südsteiermark,POINT (15.648 46.554),,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0035920820462724923,0.0,0.0013029715589636733,,,,0.41210945931729287,,0.40675070005940894,,,,0.01559720911632926,,0.01385394204268461,,,,0.0089106847886506,,0.0013495158604528185,,,,0.380746594792384,,0.21790882750965596,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0006514857794818366,0.0,0.0,0.0,0.0017960410231362461,0.0
Milevsko,299,299.0,2.0,1.0,1.0,0.0,0.0,49.45,14.361,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.361 49.45),,,,0.0,,0.0,,,,0.023746701846965697,,0.00789127575624726,,,,0.27692307692307694,,0.32142857142857145,,,,0.0,,0.0,0.0,0.0,0.0,0.0632398193378522,0.0,0.016610265654788934,,,,0.5762803214654487,,0.6739844939739639,,,,0.09123285306726535,,0.03310763925388012,,,,0.07588725723819438,,0.028019616506217898,,,,0.47045435251714596,,0.3798178146634507,,,,0.6532236680509327,,0.33070047800130425,0.0,0.0,0.0,0.03333333333333333,0.0,0.022727272727272728,,,,0.0,,0.0,0.025373444616745313,0.0,0.0,0.0,0.06956353828802328,0.0
Most,312,313.0,6.0,1.0,1.0,2.0,2.0,50.503,13.636,1.0,gemeinde,,Böhmen,Böhmen,Nordwestböhmen,NWB,Nordwestböhmen,POINT (13.636 50.503),,,0.0,,,0.0,,,0.0035545023696682463,,,0.00131521262604121,,,0.02459016393442623,,,0.05357142857142857,,,0.0,,,0.0,0.0,0.0,0.009435500800677187,0.0,0.0,0.004646645248644472,,,0.32645778369227624,,,0.31605668540202236,,,0.004828962206864601,,,0.009760342212621533,,,0.002320743924414223,,,0.0006055261599374761,,,0.2066523856512924,,,0.19511080704653844,,,0.0,,,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.022727272727272728,,,0.012345679012345678,,,0.004694835680751174,0.004670740464697823,0.0,0.0,0.007132231503770894,0.0,0.0
Myšenec,318,319.0,2.0,1.0,1.0,0.0,0.0,49.223,14.208,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.208 49.223),,,,0.0,,0.0,,,,0.032981530343007916,,0.010960105217010083,,,,0.38461538461538464,,0.44642857142857145,,,,0.0,,0.0,0.0,0.0,0.0,0.1310583785631649,0.0,0.03157983193879496,,,,0.5470109337633313,,0.6533680815479571,,,,0.018559757122302234,,0.007124149651900097,,,,0.016209916779196174,,0.0024020554228217977,,,,0.4312770866503869,,0.3472482719428855,,,,0.10952579242229499,,0.05544843776955805,0.0,0.0,0.0,0.1,0.0,0.06818181818181818,,,,0.02666666666666667,,0.009389671361502348,0.02126996857790252,0.0,0.0,0.0,0.06649076517150396,0.0
Neuburg am Inn,323,324.0,10.0,1.0,1.0,2.0,6.0,48.518,13.405,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (13.405 48.518),,,,0.0,,0.0,,,,0.011873350923482849,,0.00394563787812363,,,,0.13846153846153847,,0.16071428571428573,,,,0.0,,0.0,0.0,0.0,0.0,0.322657726699188,0.0,0.059113251956529576,,,,0.31050468088866096,,0.32355304703696625,,,,0.039073172889057484,,0.019374943698308823,,,,0.07894336922125796,,0.028336216017330114,,,,0.5073700478997446,,0.3453707618505847,,,,0.012423992821874114,,0.006289760408004979,0.0,0.0,0.0,0.03333333333333333,0.0,0.022727272727272728,,,,0.013333333333333334,,0.004694835680751174,0.021051108212790777,0.0,0.0,0.0,0.036203253111195405,0.0
Nižbor,337,338.0,2.0,1.0,1.0,0.0,0.0,50.002,14.003,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.003 50.002),,,0.0,,,0.0,,,0.016587677725118485,,,0.006137658921525646,,,0.11475409836065574,,,0.25,,,0.0,,,0.0,0.0,0.0,0.02222909249459189,0.0,0.0,0.01040624768153649,,,0.7794376327500454,,,0.6746164932675668,,,0.0,,,0.0,,,0.14664538775494848,,,0.05547246019536051,,,0.4409898947240396,,,0.4331468820045837,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.00827195330153107,0.0,0.0,0.019408385109855188,0.0,0.0
Olomouc,365,367.0,86.0,22.0,22.0,37.0,5.0,49.596,17.252,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.252 49.596),,0.10714285714285714,0.05172413793103448,,0.0,0.052980132450331126,,0.13016528925619836,0.07464454976303317,,0.06770833333333333,0.06225339763261727,,0.5,0.2581967213114754,,0.3611111111111111,0.5071428571428571,,0.07142857142857142,0.038461538461538464,,0.0,0.06451612903225806,0.0,0.5717011260465992,0.4000727488671665,0.0,0.16496502652107362,0.3098239374687188,,0.6669320967255596,0.5811517469061408,,0.7564918696469997,0.7258634942522917,,0.04696327683615805,0.04025099037099143,,0.2708333333333333,0.014179409254304434,,0.09814004687970128,0.16686242769497012,,0.1587223412901959,0.12940390929588894,,0.5752880548490136,0.6274558641115258,,0.33634865143063386,0.8053583781839605,,0.0,0.1696860101188548,,0.06424471388807002,0.06715185276039633,0.0,0.11764705882352941,0.16129032258064516,0.0,0.09090909090909091,0.13636363636363635,,0.1282051282051282,0.07407407407407407,,0.0,0.06103286384976526,0.09827788102814264,0.0,0.1229260935143288,0.16407637513780765,0.0,0.12481571609964341
Opava,367,369.0,15.0,5.0,5.0,4.0,1.0,49.939,17.903,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.903 49.939),,0.07142857142857142,,,0.09090909090909091,0.026490066225165563,,0.04132231404958678,,,0.14583333333333334,0.02235861464270057,,0.15873015873015872,,,0.3472222222222222,0.22767857142857142,,0.07142857142857142,,,0.25,0.04838709677419355,0.0,0.5221562607170427,0.0,0.0,0.47397078912030244,0.3134747777366974,,0.3893461611053348,,,0.7166515448083594,0.5319078661862549,,0.0,,,0.7291666666666669,0.1527614440915666,,0.1638975647022148,,,0.2152225811066597,0.09452711515261589,,0.5964676255977932,,,0.6618515204370232,0.7510173055243065,,0.106798697654551,,,,0.03815952813413243,0.0,0.11764705882352941,0.0,0.0,0.0,0.045454545454545456,,0.10256410256410256,,,,0.018779342723004695,0.07145710596340471,0.0,0.1122228782390402,0.0,0.0,0.2986111111111111
Písek,395,396.0,28.0,13.0,13.0,1.0,1.0,49.309,14.148,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.148 49.309),,0.03571428571428571,0.10344827586206896,0.0196078431372549,,0.06622516556291391,,0.11570247933884298,0.3293838862559242,0.047493403693931395,,0.16220955721174923,,0.4444444444444444,0.37978142076502736,0.5538461538461539,,0.7341269841269843,,0.07142857142857142,0.19230769230769232,0.0,,0.12903225806451613,0.0,0.2512469193179542,0.4952263306482187,0.1072084891144395,0.0,0.31765114188409893,,0.8092610705764486,0.778361607871233,0.5476064118059935,,0.7232412364952081,,0.14936440677966098,0.01570135615764963,0.0,,0.032096266953024755,,0.21640542941190832,0.49766218473550367,0.15072977473446755,,0.3168491923059451,,0.653345174872026,0.8582385691683614,0.5795270498358097,,0.9012033598856338,,1.0,0.2787520399931657,0.4226452387292286,,0.19886448165990203,0.0,0.23529411764705882,0.2903225806451613,0.2,0.0,0.38636363636363635,,0.10256410256410256,0.14814814814814814,0.09333333333333334,,0.11737089201877934,0.25785683698292355,0.0,0.22584977352948357,0.3098532334505427,0.12896913192445353,0.0
Plasy,398,399.0,15.0,4.0,4.0,7.0,0.0,49.934,13.39,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (13.39 49.934),,0.03571428571428571,0.017241379310344827,,,0.019867549668874173,,0.13016528925619836,0.058056872037914695,,,0.04910127137220517,,1.0,0.4016393442622951,,,1.0,,0.0,0.0,,,0.016129032258064516,0.0,0.264122246388997,0.12688230227399713,0.0,0.0,0.13041884629857906,,0.5499054165142324,0.049722621113985496,,,0.5359264424226811,,0.0,0.036289506404880996,,,0.042299954906404244,,0.06701833887388386,0.00749193924013793,,,0.03165610222090708,,0.23378685296374072,0.26285253510654555,,,0.5336041838722491,,0.16647227398824332,0.04539287129640599,,,0.05619007706095944,0.0,0.29411764705882354,0.0967741935483871,0.0,0.0,0.11363636363636363,,0.1282051282051282,0.04938271604938271,,,0.046948356807511735,0.052645674216582304,0.0,0.14831878162222084,0.049552668581684105,0.0,0.0
Poděbrady,403,404.0,18.0,9.0,9.0,0.0,0.0,50.142,15.119,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (15.119 50.142),,,0.05172413793103448,0.0392156862745098,0.0,0.046357615894039736,,,0.04739336492890995,0.052770448548812667,0.09895833333333333,0.04471722928540114,,,0.16393442622950818,0.20512820512820515,0.5277777777777778,0.30357142857142855,,,0.038461538461538464,0.11764705882352941,0.0,0.08064516129032258,0.0,0.00030155510731542137,0.0529858850720033,0.11379110113712358,0.14388261352440174,0.07205577211859894,,,0.7738484254478014,0.7833930534941144,0.5369429505881298,0.7838217097959229,,,0.1604834745395135,0.046887521216518194,0.06944444444444439,0.11986684905540113,,,0.09224750128377227,0.37969857098089016,0.0,0.16743153389133844,,,0.4340039517060471,0.8303677831943908,0.23633688957390298,0.8254735838439368,,,0.4607069354071263,0.20611351101092004,,0.2208017497112431,0.0,0.0,0.12903225806451613,0.1,0.0,0.1590909090909091,,,0.037037037037037035,0.08,,0.046948356807511735,0.1394788790731551,0.0,0.00015077755365771068,0.1106398796741442,0.11571907998032649,0.08420138888888887
Praha,419,421.0,401.0,172.0,176.0,44.0,9.0,50.09,14.41,1.0,gemeinde,,Böhmen,Prag,Prag,Pr,Prag,POINT (14.41 50.09),,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.590964590964591,0.2562234365513054,0.647863247863248,1.0,0.6465419501133788,,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,1.0,0.9205285538918916,1.0,0.8704630890339025,1.0,0.18623129188437965,1.0,1.0,0.8272740700311495,1.0,0.8548556347783747,0.0,1.0,1.0,1.0,1.0,0.9898799907075189,0.4274791012714619,0.922154786459286,1.0,1.0,1.0,1.0,0.45959352209352267,0.9946061100787952,1.0,1.0,1.0,1.0,,0.012892860222885886,0.4036359594785277,0.5948870706956481,0.12131230546218015,0.21156454834062557,0.0,0.5294117647058824,1.0,1.0,1.0,1.0,,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,0.09311564594218982,0.971662029398372,1.0,1.0,1.0
